year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,Winning
2004,WASHINGTON,WA,SKAMANIA,53059,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2695,5159,20191203,TOTAL,REPUBLICAN
2008,WASHINGTON,WA,SKAMANIA,53059,PRESIDENT,BARACK OBAMA,DEMOCRAT,2817,5490,20191203,TOTAL,DEMOCRAT
2012,WASHINGTON,WA,SKAMANIA,53059,PRESIDENT,MITT ROMNEY,REPUBLICAN,2687,5466,20191203,TOTAL,REPUBLICAN
2016,WASHINGTON,WA,SKAMANIA,53059,PRESIDENT,DONALD TRUMP,REPUBLICAN,2928,5639,20191203,TOTAL,REPUBLICAN
2020,WASHINGTON,WA,SKAMANIA,53059,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3885,7312,20210622,TOTAL,REPUBLICAN
2000,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,316,442,20191203,TOTAL,REPUBLICAN
2004,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,335,432,20191203,TOTAL,REPUBLICAN
2008,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,JOHN MCCAIN,REPUBLICAN,297,411,20191203,TOTAL,REPUBLICAN
2012,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,MITT ROMNEY,REPUBLICAN,341,437,20191203,TOTAL,REPUBLICAN
2016,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,DONALD TRUMP,REPUBLICAN,362,430,20191203,TOTAL,REPUBLICAN
2020,NORTH DAKOTA,ND,SLOPE,38087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,380,427,20210622,TOTAL,REPUBLICAN
2000,KANSAS,KS,SMITH,20183,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1534,2184,20191203,TOTAL,REPUBLICAN
2000,MISSISSIPPI,MS,SMITH,28129,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4838,6528,20191203,TOTAL,REPUBLICAN
2000,TENNESSEE,TN,SMITH,47159,PRESIDENT,AL GORE,DEMOCRAT,4884,7348,20191203,TOTAL,DEMOCRAT
