"country","year","income","lifeExp","region","population"
"Romania",2015,20500,75.1,"Europe",19900000
"Russia",2015,24100,70.8,"Europe",144000000
"Rwanda",2015,1720,67.3,"Africa",11600000
"Samoa",2015,5560,71.7,"Oceania",194000
"Sao Tome and Principe",2015,2940,70.3,"Africa",196000
"Saudi Arabia",2015,50700,76.8,"Asia",31600000
"Senegal",2015,2300,65.9,"Africa",15000000
"Serbia",2015,13300,75.7,"Europe",8850000
"Seychelles",2015,25500,73.7,"Africa",93700
"Sierra Leone",2015,1320,57.6,"Africa",7240000
"Singapore",2015,80900,83.6,"Asia",5540000
"Slovak Republic",2015,28300,76.8,"Europe",5440000
"Slovenia",2015,29100,80.7,"Europe",2070000
"Solomon Islands",2015,2050,62.8,"Oceania",587000
"Somalia",2015,623,57.3,"Africa",13900000
"South Africa",2015,12400,61.8,"Africa",55300000
"South Korea",2015,34200,80.9,"Asia",50600000
"South Sudan",2015,1810,58.9,"Africa",11900000
"Spain",2015,32200,82.9,"Europe",46400000
"Sri Lanka",2015,11100,77.2,"Asia",20700000
"St. Lucia",2015,10700,76.1,"Americas",177000
"St. Vincent and the Grenadines",2015,10500,71.6,"Americas",109000
"Sudan",2015,4290,68,"Africa",38600000
"Suriname",2015,14800,71.2,"Americas",553000
"Sweden",2015,45500,82.1,"Europe",9760000
"Switzerland",2015,56500,83.1,"Europe",8320000
"Syria",2015,3500,68.4,"Asia",18700000
"Tajikistan",2015,2640,71.6,"Asia",8550000
"Tanzania",2015,2490,63.5,"Africa",53900000
"Thailand",2015,15200,77.6,"Asia",68700000
"Timor-Leste",2015,2150,72.6,"Asia",1240000
"Togo",2015,1350,62.1,"Africa",7420000
"Tonga",2015,5190,70.3,"Oceania",106000
"Trinidad and Tobago",2015,31300,73.1,"Americas",1360000
"Tunisia",2015,10800,77.4,"Africa",11300000
"Turkey",2015,23400,79,"Asia",78300000
"Uganda",2015,1690,61.6,"Africa",40100000
"Ukraine",2015,7470,71.9,"Europe",44700000
"United Arab Emirates",2015,66000,76.5,"Asia",9150000
"United Kingdom",2015,38500,80.8,"Europe",65400000
"United States",2015,52800,78.8,"Americas",320000000
"Uruguay",2015,19800,77.1,"Americas",3430000
"Uzbekistan",2015,5700,70,"Asia",31000000
"Vanuatu",2015,2810,63.6,"Oceania",265000
"Venezuela",2015,15600,75.5,"Americas",31200000
"Yemen",2015,2640,67.2,"Asia",26900000
"Zambia",2015,3630,58.1,"Africa",16100000
"Zimbabwe",2015,1890,58.3,"Africa",15800000
